config,selection,crossover,mutation,elitism,fitness_sharing,final_fitness,time_s
tournament_one_point_gaussian_elite=False_share=False,tournament,one_point,gaussian,False,False,41.950260162353516,372.66534304618835
tournament_one_point_gaussian_elite=False_share=True,tournament,one_point,gaussian,False,True,59.56540298461914,366.21172618865967
tournament_one_point_gaussian_elite=True_share=False,tournament,one_point,gaussian,True,False,41.31477737426758,364.7375159263611
tournament_one_point_gaussian_elite=True_share=True,tournament,one_point,gaussian,True,True,50.90506362915039,366.6881947517395
tournament_one_point_uniform_elite=False_share=False,tournament,one_point,uniform,False,False,64.17564392089844,382.22191309928894
tournament_one_point_uniform_elite=False_share=True,tournament,one_point,uniform,False,True,63.70579147338867,383.21922612190247
tournament_one_point_uniform_elite=True_share=False,tournament,one_point,uniform,True,False,57.10115051269531,376.3927161693573
tournament_one_point_uniform_elite=True_share=True,tournament,one_point,uniform,True,True,57.007301330566406,378.221883058548
tournament_two_point_gaussian_elite=False_share=False,tournament,two_point,gaussian,False,False,40.093379974365234,362.7710509300232
tournament_two_point_gaussian_elite=False_share=True,tournament,two_point,gaussian,False,True,56.862144470214844,361.1620099544525
tournament_two_point_gaussian_elite=True_share=False,tournament,two_point,gaussian,True,False,40.92841720581055,358.86380791664124
tournament_two_point_gaussian_elite=True_share=True,tournament,two_point,gaussian,True,True,51.25313949584961,359.97737288475037
tournament_two_point_uniform_elite=False_share=False,tournament,two_point,uniform,False,False,62.001949310302734,382.7825231552124
tournament_two_point_uniform_elite=False_share=True,tournament,two_point,uniform,False,True,63.60966491699219,383.90305399894714
tournament_two_point_uniform_elite=True_share=False,tournament,two_point,uniform,True,False,56.4525032043457,379.78135919570923
tournament_two_point_uniform_elite=True_share=True,tournament,two_point,uniform,True,True,57.93193435668945,379.3593270778656
rank_one_point_gaussian_elite=False_share=False,rank,one_point,gaussian,False,False,45.77065658569336,364.683078289032
rank_one_point_gaussian_elite=False_share=True,rank,one_point,gaussian,False,True,57.51158142089844,365.6902780532837
rank_one_point_gaussian_elite=True_share=False,rank,one_point,gaussian,True,False,44.82779312133789,357.8902761936188
rank_one_point_gaussian_elite=True_share=True,rank,one_point,gaussian,True,True,53.77023696899414,360.57693219184875
rank_one_point_uniform_elite=False_share=False,rank,one_point,uniform,False,False,65.91837310791016,382.45151114463806
rank_one_point_uniform_elite=False_share=True,rank,one_point,uniform,False,True,65.76414489746094,383.91611981391907
rank_one_point_uniform_elite=True_share=False,rank,one_point,uniform,True,False,57.594482421875,378.0252511501312
rank_one_point_uniform_elite=True_share=True,rank,one_point,uniform,True,True,56.87682342529297,379.3683850765228
rank_two_point_gaussian_elite=False_share=False,rank,two_point,gaussian,False,False,44.1105842590332,365.83970499038696
rank_two_point_gaussian_elite=False_share=True,rank,two_point,gaussian,False,True,56.417667388916016,365.8124680519104
rank_two_point_gaussian_elite=True_share=False,rank,two_point,gaussian,True,False,43.93964767456055,358.44708037376404
rank_two_point_gaussian_elite=True_share=True,rank,two_point,gaussian,True,True,51.58304214477539,360.7099220752716
rank_two_point_uniform_elite=False_share=False,rank,two_point,uniform,False,False,62.9843864440918,383.04982709884644
rank_two_point_uniform_elite=False_share=True,rank,two_point,uniform,False,True,65.61272430419922,383.7300069332123
rank_two_point_uniform_elite=True_share=False,rank,two_point,uniform,True,False,57.301151275634766,377.63096594810486
rank_two_point_uniform_elite=True_share=True,rank,two_point,uniform,True,True,58.276615142822266,379.2563052177429
